Date,Q_ke,Q_assim_base,Q_assim_Budyko,ET_ke,ET_assim_base,ET_assim_Budyko,S_ke,S_assim_base,S_assim_Budyko,G_ke,G_assim_base,G_assim_Budyko,Qs_ke,Qs_assim_base,Qs_assim_Budyko,Qb_ke,Qb_assim_base,Qb_assim_Budyko,Perc_ke,Perc_assim_base,Perc_assim_Budyko,omega_true,omega_mlr
2007-08-01,65.3814604466096,66.20117499680563,65.82637910827663,26.31967620849609,91.59838104248047,91.59838104248047,0.0,0.0,0.0,1.6098379311283568,13.378892261450856,7.943102558151968,65.27870483398438,65.27870483398438,65.27870483398438,0.10275561262521427,0.9224701628212494,0.5476742742922523,0.0,0.0,0.0,6.112356319246581,5.882719528484946
2007-09-01,44.53735565672708,45.24349891654643,44.91735153434849,21.110191345214844,65.55095672607422,65.55095672607422,0.0,0.0,0.0,1.5132476552606555,11.642312045914537,6.912087846103841,44.440765380859375,44.440765380859375,44.440765380859375,0.0965902758677014,0.8027335356870513,0.47658615348911804,0.0,0.0,0.0,6.998153785750387,6.2822017375463695
2007-10-01,37.70829363861251,38.31603750205175,38.03222405006311,19.40437469482422,57.021873474121094,57.021873474121094,0.0,0.0,0.0,1.4224527959450162,10.13113994235483,6.014898843679564,37.617498779296874,37.617498779296874,37.617498779296874,0.09079485931563933,0.6985387227548722,0.41472527076623045,0.0,0.0,0.0,6.605659894728633,6.485126250653595
2007-11-01,0.08534716775670097,0.6078683965412898,0.36089393062077385,0.13379554450511932,0.13379554450511932,0.13379554450511932,0.0,0.0,0.0,1.3371056281883151,8.816117977837171,5.234164973769955,0.0,0.0,0.0,0.08534716775670097,0.6078683965412898,0.36089393062077385,0.0,0.0,0.0,5.475663178351656,6.685572739611139
2007-12-01,0.0802263376912989,0.5289670786702303,0.3140498984261973,4.132350921630859,4.132350921630859,4.132350921630859,0.0,0.0,0.0,1.2568792904970163,7.6717858643139065,4.554770360174615,0.0,0.0,0.0,0.0802263376912989,0.5289670786702303,0.3140498984261973,0.0,0.0,0.0,3.395909880660983,7.515448433749768
2008-01-01,0.07541275742982098,0.46030715185883436,0.2732862216104769,0.21557332575321198,0.21557332575321198,0.21557332575321198,0.0,0.0,0.0,1.1814665330671954,6.6759880591259595,3.9635611674239497,0.0,0.0,0.0,0.07541275742982098,0.46030715185883436,0.2732862216104769,0.0,0.0,0.0,2.903992206790432,7.098289316500745
2008-02-01,0.07088799198403171,0.40055928354755754,0.23781367004543696,1.8653844594955444,1.8653844594955444,1.8653844594955444,0.0,0.0,0.0,1.1105785410831637,5.809444809051413,3.4490909278923207,0.0,0.0,0.0,0.07088799198403171,0.40055928354755754,0.23781367004543696,0.0,0.0,0.0,7.889546941620798,6.9309197695366915
2008-03-01,4.317912636048974,4.599844612127069,4.458223379257523,11.062819480895996,15.31409740447998,15.31409740447998,0.0,0.0,0.0,1.043943828618174,5.055378872836538,3.0013989254518987,4.251277923583984,4.251277923583984,4.251277923583984,0.06663471246498982,0.34856668854308476,0.20694545567353922,0.0,0.0,0.0,10.0,6.893901280925532
2008-04-01,84.67900625862335,84.91969236127645,84.79645356443336,31.154092407226557,91.77196223449708,106.69215615536315,0.0,17.230922857574456,6.51822362239261,0.9813071989010835,10.288336151864478,4.839600926167943,84.61636962890626,84.61636962890626,84.61636962890626,0.06263662971709043,0.3033227323701923,0.1800839355271139,0.0,0.0,0.0,6.296762567447448,6.794884521068824
2008-05-01,140.41836329521533,154.90713148581472,145.91735337785914,45.089871215820295,0.0,28.75566224238334,0.0,0.0,0.0,0.9224287669670185,8.952910118939016,4.211420725660459,140.35948486328127,154.14422314934083,145.57406376119533,0.05887843193406501,0.7629083364738741,0.34328961666382307,0.0,2.4268027893667594,0.881892684895775,2.5796160566946638,6.401297516579661
