Basin,Kperc,Kb,Ke,Cqq,S_init,G_init,Smax,KGE
13023000,0.02,0.956,0.312,0.815,0.35,0.15,0.05,0.431
02464000,0.135,0.994,0.471,0.389,0.35,0.15,0.05,0.431
08171300,0.029,0.991,0.563,0.137,0.35,0.15,0.05,0.43
07362100,0.999,0.905,0.848,0.868,0.35,0.15,0.05,0.429
02070000,0.312,0.98,0.965,0.338,0.35,0.15,0.05,0.429
12358500,0.037,0.984,0.81,0.382,0.35,0.15,0.05,0.426
13011900,0.253,0.853,0.896,1.0,0.35,0.15,0.05,0.426
02408540,0.019,0.995,0.091,0.284,0.35,0.15,0.05,0.425
10242000,0.972,0.841,0.946,0.136,0.35,0.15,0.05,0.424
01632000,0.309,0.838,0.564,0.111,0.35,0.15,0.05,0.422
07261000,0.096,0.998,0.697,0.305,0.35,0.15,0.05,0.422
08101000,0.012,0.932,0.244,0.107,0.35,0.15,0.05,0.421
07375000,0.529,0.982,0.985,0.144,0.35,0.15,0.05,0.421
05525500,0.019,0.971,0.501,0.117,0.35,0.15,0.05,0.42
11476600,0.919,0.931,0.254,0.988,0.35,0.15,0.05,0.42
03366500,0.018,0.998,0.516,0.321,0.35,0.15,0.05,0.419
02046000,0.089,0.994,0.85,0.344,0.35,0.15,0.05,0.418
03604000,0.02,0.992,0.314,0.312,0.35,0.15,0.05,0.416
06332515,0.011,0.392,0.176,0.101,0.35,0.15,0.05,0.413
12189500,0.352,0.767,0.811,0.108,0.35,0.15,0.05,0.412
03574500,0.046,0.994,0.601,0.334,0.35,0.15,0.05,0.412
03488000,0.128,0.987,0.649,0.168,0.35,0.15,0.05,0.411
01568000,0.559,0.901,0.687,0.124,0.35,0.15,0.05,0.407
06352000,0.012,0.123,0.576,0.102,0.35,0.15,0.05,0.406
04124000,0.047,1.0,0.654,0.245,0.35,0.15,0.05,0.405
02051000,0.671,0.999,0.989,0.332,0.35,0.15,0.05,0.404
01664000,0.056,0.985,0.705,0.108,0.35,0.15,0.05,0.401
02324400,0.04,0.996,0.213,0.139,0.35,0.15,0.05,0.401
11151300,0.038,0.739,0.527,0.104,0.35,0.15,0.05,0.396
07291000,0.346,0.998,0.739,0.144,0.35,0.15,0.05,0.395
02178400,0.931,0.743,0.874,0.998,0.35,0.15,0.05,0.394
06477500,0.01,0.233,0.703,0.105,0.35,0.15,0.05,0.393
11148900,0.123,0.995,0.607,0.146,0.35,0.15,0.05,0.393
02053800,0.099,0.975,0.661,0.251,0.35,0.15,0.05,0.393
01605500,0.362,0.939,0.756,0.15,0.35,0.15,0.05,0.392
07292500,0.029,0.998,0.254,0.178,0.35,0.15,0.05,0.39
06404000,0.997,0.71,0.658,0.126,0.35,0.15,0.05,0.389
03280700,0.972,0.988,0.835,0.985,0.35,0.15,0.05,0.389
03300400,0.05,0.998,0.657,0.136,0.35,0.15,0.05,0.384
06344600,0.017,0.618,0.815,0.103,0.35,0.15,0.05,0.381
07346045,0.045,0.989,0.531,0.189,0.35,0.15,0.05,0.381
02481510,0.191,0.977,0.881,0.126,0.35,0.15,0.05,0.38
02479560,0.083,0.982,0.941,0.118,0.35,0.15,0.05,0.38
04213000,0.65,0.812,0.854,0.102,0.35,0.15,0.05,0.378
13340000,0.059,0.759,0.132,0.107,0.35,0.15,0.05,0.377
12056500,0.948,0.658,0.814,0.998,0.35,0.15,0.05,0.376
08029500,0.213,0.995,0.926,0.201,0.35,0.15,0.05,0.376
02056900,0.042,0.993,0.878,0.395,0.35,0.15,0.05,0.375
09510200,0.017,0.951,0.693,0.105,0.35,0.15,0.05,0.373
13340600,0.192,0.886,0.776,0.116,0.35,0.15,0.05,0.371
03455500,0.754,0.438,0.534,1.0,0.35,0.15,0.05,0.371
13011500,0.713,0.986,0.59,1.0,0.35,0.15,0.05,0.371
02015700,0.482,0.952,0.943,0.203,0.35,0.15,0.05,0.369
01667500,0.145,0.991,0.244,0.122,0.35,0.15,0.05,0.369
01121000,0.993,0.988,0.948,0.971,0.35,0.15,0.05,0.368
01666500,0.03,0.998,0.66,0.262,0.35,0.15,0.05,0.367
