like1,parKperc,parKb,parKe,parCqq,parBias,parS_init,parG_init,chain
30.36,0.317,0.9536,0.521,0.9995,0.126,1894.0,1297.0,0.0
10000.0,0.6846,0.6445,0.0835,0.9995,0.6475,1616.0,822.0,0.0
0.3687,0.06555,0.4058,0.9863,0.9995,-0.235,320.0,1087.0,0.0
4.79,0.867,0.1103,0.942,0.9995,-0.03592,547.0,1431.0,0.0
10000.0,0.4465,0.716,0.07983,1.0,-0.646,662.5,1314.0,0.0
10000.0,0.3374,0.534,0.0748,0.9995,0.8423,1833.0,762.5,0.0
0.3167,0.03958,0.8145,0.8667,0.9995,0.1544,1495.0,685.5,0.0
10000.0,0.955,0.803,0.06885,0.999,0.2925,219.8,1249.0,0.0
25.83,0.2847,0.8457,0.503,0.999,-0.7803,1701.0,589.0,0.0
15.266,0.3809,0.907,0.7666,1.0,0.2301,20.2,224.2,0.0
17.0,0.885,0.9966,0.97,1.0,0.054,1137.0,1549.0,0.0
11.47,0.628,0.3,0.763,1.0,-0.1311,714.0,1226.0,0.0
18.38,0.4756,0.9194,0.809,0.9995,0.769,1897.0,1313.0,0.0
10000.0,0.02383,0.8203,0.1765,0.9995,0.815,506.8,24.33,0.0
24.97,0.4817,0.89,0.673,0.999,0.1245,1358.0,1443.0,0.0
70.3,0.2256,0.9907,0.3376,0.9995,-0.1635,743.0,402.0,0.0
10000.0,0.7275,0.5845,0.3093,0.999,0.0855,599.0,242.5,0.0
36.88,0.7866,0.931,0.738,1.0,0.9326,1455.0,1896.0,0.0
24.5,0.3877,0.924,0.5967,0.9995,-0.736,1845.0,1176.0,0.0
37.66,0.5693,0.8438,0.586,0.9995,0.534,772.5,429.0,0.0
0.0598,0.03073,0.691,0.607,0.9995,-0.627,1738.0,366.0,0.0
98.9,0.881,0.694,0.3687,1.0,-0.2308,508.0,94.94,0.0
22.94,0.4355,0.94,0.688,1.0,0.2196,868.0,1545.0,0.0
95.0,0.804,0.2612,0.3247,0.9995,0.3623,568.5,363.2,0.0
18.58,0.536,0.2306,0.5986,0.9995,0.2091,850.0,1598.0,0.0
10000.0,0.9263,0.769,0.2803,1.0,-0.6777,1888.0,970.5,0.0
57.2,0.843,0.3994,0.4338,0.999,-0.725,527.0,696.0,0.0
79.3,0.01964,0.4417,0.3018,0.999,-0.9585,1758.0,1211.0,0.0
71.4,0.298,0.4863,0.339,0.9995,-0.08655,443.8,1969.0,0.0
46.2,0.3682,0.443,0.426,0.999,0.281,1343.0,1272.0,0.0
72.94,0.8784,0.802,0.4731,1.0,-0.0528,791.0,218.6,0.0
7.625,0.04523,0.4514,0.6074,0.9995,0.9077,956.0,1931.0,0.0
